productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
,DE,13,212643,0.02000
,DE,13,159482,0.01500
,DE,13,106321,0.01000
,DE,13,53161,0.00500
,DE,13,10632,0.00100
,DE,13,5316,0.00050
,DE,13,1063,0.00010
,DE,13,0,0.00000
,DE,14,7640015,1.00000
,DE,14,3820008,0.50000
,DE,14,3056006,0.40000
,DE,14,2292005,0.30000
,DE,14,1528003,0.20000
,DE,14,1146002,0.15000
,DE,14,764002,0.10000
,DE,14,382001,0.05000
,DE,14,305601,0.04000
,DE,14,229200,0.03000
,DE,14,152800,0.02000
,DE,14,114600,0.01500
,DE,14,76400,0.01000
,DE,14,38200,0.00500
,DE,14,7640,0.00100
,DE,14,3820,0.00050
,DE,14,764,0.00010
,DE,14,0,0.00000
,DE,15,8982217,1.00000
,DE,15,4491109,0.50000
,DE,15,3592887,0.40000
,DE,15,2694665,0.30000
,DE,15,1796443,0.20000
,DE,15,1347333,0.15000
,DE,15,898222,0.10000
,DE,15,449111,0.05000
,DE,15,359289,0.04000
,DE,15,269467,0.03000
,DE,15,179644,0.02000
,DE,15,134733,0.01500
,DE,15,89822,0.01000
,DE,15,44911,0.00500
,DE,15,8982,0.00100
,DE,15,4491,0.00050
,DE,15,898,0.00010
,DE,15,0,0.00000
,DE,16,5814608,1.00000
,DE,16,2907304,0.50000
,DE,16,2325843,0.40000
,DE,16,1744382,0.30000
,DE,16,1162922,0.20000
,DE,16,872191,0.15000
,DE,16,581461,0.10000
,DE,16,290730,0.05000
,DE,16,232584,0.04000
,DE,16,174438,0.03000
,DE,16,116292,0.02000
,DE,16,87219,0.01500
,DE,16,58146,0.01000
,DE,16,29073,0.00500
,DE,16,5815,0.00100
,DE,16,2907,0.00050
,DE,16,581,0.00010
,DE,16,0,0.00000
,DE,17,7741476,1.00000
,DE,17,3870738,0.50000
,DE,17,3096590,0.40000
,DE,17,2322443,0.30000
,DE,17,1548295,0.20000
,DE,17,1161221,0.15000
,DE,17,774148,0.10000
,DE,17,387074,0.05000
,DE,17,309659,0.04000
,DE,17,232244,0.03000
,DE,17,154830,0.02000
,DE,17,116122,0.01500
,DE,17,77415,0.01000
,DE,17,38707,0.00500
,DE,17,7741,0.00100
,DE,17,3871,0.00050
,DE,17,774,0.00010
,DE,17,0,0.00000
,DE,18,7738316,1.00000
,DE,18,3869158,0.50000
,DE,18,3095326,0.40000
,DE,18,2321495,0.30000
,DE,18,1547663,0.20000
,DE,18,1160747,0.15000
,DE,18,773832,0.10000
,DE,18,386916,0.05000
,DE,18,309533,0.04000
,DE,18,232149,0.03000
,DE,18,154766,0.02000
,DE,18,116075,0.01500
,DE,18,77383,0.01000
,DE,18,38692,0.00500
,DE,18,7738,0.00100
,DE,18,3869,0.00050
,DE,18,774,0.00010
,DE,18,0,0.00000
,DE,19,7671977,1.00000
,DE,19,3835989,0.50000
,DE,19,3068791,0.40000
,DE,19,2301593,0.30000
,DE,19,1534395,0.20000
,DE,19,1150797,0.15000
,DE,19,767198,0.10000
,DE,19,383599,0.05000
,DE,19,306879,0.04000
,DE,19,230159,0.03000
,DE,19,153440,0.02000
,DE,19,115080,0.01500
,DE,19,76720,0.01000
,DE,19,38360,0.00500
,DE,19,7672,0.00100
,DE,19,3836,0.00050
,DE,19,767,0.00010
,DE,19,0,0.00000
,DE,20,7774246,1.00000
,DE,20,3887123,0.50000
,DE,20,3109698,0.40000
,DE,20,2332274,0.30000
,DE,20,1554849,0.20000
,DE,20,1166137,0.15000
,DE,20,777425,0.10000
,DE,20,388712,0.05000
,DE,20,310970,0.04000
,DE,20,233227,0.03000
,DE,20,155485,0.02000
,DE,20,116614,0.01500
,DE,20,77742,0.01000
,DE,20,38871,0.00500
,DE,20,7774,0.00100
,DE,20,3887,0.00050
,DE,20,777,0.00010
,DE,20,0,0.00000
,DE,21,10688027,1.00000
,DE,21,5344014,0.50000
,DE,21,4275211,0.40000
,DE,21,3206408,0.30000
,DE,21,2137605,0.20000
,DE,21,1603204,0.15000
,DE,21,1068803,0.10000
,DE,21,534401,0.05000
,DE,21,427521,0.04000
,DE,21,320641,0.03000
,DE,21,213761,0.02000
,DE,21,160320,0.01500
,DE,21,106880,0.01000
,DE,21,53440,0.00500
,DE,21,10688,0.00100
,DE,21,5344,0.00050
,DE,21,1069,0.00010
,DE,21,0,0.00000
,DE,22,7596217,1.00000
,DE,22,3798109,0.50000
,DE,22,3038487,0.40000
,DE,22,2278865,0.30000
,DE,22,1519243,0.20000
,DE,22,1139433,0.15000
,DE,22,759622,0.10000
,DE,22,379811,0.05000
,DE,22,303849,0.04000
,DE,22,227887,0.03000
,DE,22,151924,0.02000
,DE,22,113943,0.01500
,DE,22,75962,0.01000
,DE,22,37981,0.00500
,DE,22,7596,0.00100
,DE,22,3798,0.00050
,DE,22,760,0.00010
,DE,22,0,0.00000
,DE,23,8936605,1.00000
,DE,23,4468303,0.50000
,DE,23,3574642,0.40000
,DE,23,2680982,0.30000
,DE,23,1787321,0.20000
,DE,23,1340491,0.15000
,DE,23,893661,0.10000
,DE,23,446830,0.05000
,DE,23,357464,0.04000
,DE,23,268098,0.03000
,DE,23,178732,0.02000
,DE,23,134049,0.01500
,DE,23,89366,0.01000
,DE,23,44683,0.00500
,DE,23,8937,0.00100
,DE,23,4468,0.00050
,DE,23,894,0.00010
,DE,23,0,0.00000
,ES,1,2099837,1.00000
,ES,1,1049919,0.50000
,ES,1,839935,0.40000
,ES,1,629951,0.30000
,ES,1,419967,0.20000
,ES,1,314976,0.15000
,ES,1,209984,0.10000
,ES,1,104992,0.05000
,ES,1,83993,0.04000
,ES,1,62995,0.03000
,ES,1,41997,0.02000
,ES,1,31498,0.01500
,ES,1,20998,0.01000
,ES,1,10499,0.00500
,ES,1,2100,0.00100
,ES,1,1050,0.00050
,ES,1,210,0.00010
,ES,1,0,0.00000
,ES,2,2719568,1.00000
,ES,2,1359784,0.50000
,ES,2,1087827,0.40000
,ES,2,815870,0.30000
,ES,2,543914,0.20000
,ES,2,407935,0.15000
,ES,2,271957,0.10000
,ES,2,135978,0.05000
,ES,2,108783,0.04000
,ES,2,81587,0.03000
,ES,2,54391,0.02000
,ES,2,40794,0.01500
,ES,2,27196,0.01000
,ES,2,13598,0.00500
,ES,2,2720,0.00100
,ES,2,1360,0.00050
,ES,2,272,0.00010
,ES,2,0,0.00000
,ES,3,1929478,1.00000
,ES,3,964739,0.50000
,ES,3,771791,0.40000
,ES,3,578843,0.30000
,ES,3,385896,0.20000
,ES,3,289422,0.15000
,ES,3,192948,0.10000
,ES,3,96474,0.05000
,ES,3,77179,0.04000
,ES,3,57884,0.03000
,ES,3,38590,0.02000
,ES,3,28942,0.01500
,ES,3,19295,0.01000
,ES,3,9647,0.00500
,ES,3,1929,0.00100
,ES,3,965,0.00050
,ES,3,193,0.00010
,ES,3,0,0.00000
,ES,4,1944813,1.00000
,ES,4,972407,0.50000
,ES,4,777925,0.40000
,ES,4,583444,0.30000
,ES,4,388963,0.20000
