formattedCatalogId,ean,supplierPartNumber,productName,productPriceExc,productVatRate,currencyCode
,9782747077286,,"Les enquêtes d'Alfred et Agatha poche, Tome 01: L'affaire des oiseaux",2.33,0.055,EUR
,9782849335468,,Mon bullet journal spécial bien-être,3.81,0.055,EUR
,9791023516609,,La Belle Jeanette,3.07,0.055,EUR
,9782842184513,,Alba découvre les formes,4.3,0.055,EUR
,9782813224064,,Médiumnité - Quand la science confirme,4.91,0.055,EUR
,9782757604922,,LE COUREUR PREND SON ENVOL: LA LIGNE BLEUE,6.75,0.055,EUR
,9791032404393,,Secrets d'un fan de Fortnite - Roman adolescent - Jeu vidéo - Dès 7 ans (1),1.41,0.055,EUR
,9782757605172,,MAIS C'EST PAS POSSIBLE ?!: PSG : LE MEILLEUR DU PIRE,4.05,0.055,EUR
,9782317022098,,La nouvelle révolution alimentaire: Ce dont lHomme a réellement besoin,4.91,0.055,EUR
,9782849336519,,Souls family - Tisser ou resserrer les liens familiaux,4.91,0.055,EUR
,9782849336823,,Burn after writing (Tattoo) - L'édition française officielle,3.81,0.055,EUR
,9782757603796,,J'ai pas le temps ! Séances d'étirement: 75 seances de 10 minutes sans materiel 3 niveaux de difficulté,5.03,0.055,EUR
,9782745997463,,Le football,3.56,0.055,EUR
,9782813226006,,"Petits maux, grands traumas - De l'EMDR à l'IMO une nouvelle voie de guérison",2.7,0.055,EUR
,9782702920848,,"La peur, origine de nos maladies - Comment s'en libérer pour guérir",4.67,0.055,EUR
,9791023517026,,"Elle aime quoi, la poule ?",3.31,0.055,EUR
,9782603028216,,Mauvaise réputation: Plaidoyer pour les animaux mal aimés,5.4,0.055,EUR
,9782365494755,,Petite bible de santé environnementale,6.14,0.055,EUR
,9782381350226,,Agenda Femme lunaire,4.67,0.055,EUR
,9782412052983,,"L'Angleterre en séries: Downton Abbey, Peaky Blinders, The Crown - Un siècle d'histoire britannique à travers trois séries cultes",3.68,0.055,EUR
,9782846404815,,Corse - Balagne : 30 belles balades,4.3,0.055,EUR
,9782603028346,,Everest: La Véritable histoire d'Edmund Hillary et Tenzing Norgay,5.65,0.055,EUR
