skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,"Expodif-nov.19-8,44-144-LANG",FR,null,8.13,8.58,0,32.00,11.02,0.35960,1.35550,0.00598,FALSE,null,4,0.01,1,FALSE
,"Expodif-nov.19-3,9-145-LANG",FR,null,3.83,4.04,0,15.00,2.92,0.19470,0.76240,0.00268,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-42,2-146",FR,null,40.13,42.34,0,195.00,5.38,0.08940,0.13410,0.00068,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-4,43-147-LANG",FR,null,4.33,4.57,0,16.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-8,44-148-LANG",FR,null,8.13,8.58,0,35.00,2.79,0.15240,0.34320,0.00107,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-7,91-149-LANG",FR,null,7.63,8.05,0,29.95,12.69,0.42360,1.66290,0.01332,FALSE,null,4,0.01,1,FALSE
,"Expodif-nov.19-4,22-150-LANG",FR,null,4.13,4.36,0,19.00,7.37,0.38790,1.78450,0.00207,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-3,9-151-LANG",FR,null,3.83,4.04,0,15.00,1.99,0.13960,0.51960,0.00057,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-10,55-152-LANG",FR,null,10.13,10.69,0,39.95,9.89,0.27430,0.97630,0.00249,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-7,6-153-LANG",FR,null,7.33,7.74,0,29.00,6.28,0.16240,0.85630,0.00459,FALSE,null,4,0.01,1,FALSE
