afnRemovalShipmentId,afnRemovalOrderId,dataStartTime,dataEndTime,requestDate,shipmentDate,skuId,fnsku,disposition,shippedQuantity,carrier,trackingNumber
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2967,X0018FKIXX,Sellable,2,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2237,X00173VKOR,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1051,X0013LFPFN,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2844,X001878AEF,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2202,X00173L2GX,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2935,X0018FKJ2X,Sellable,2,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3561,X001HA938F,Sellable,2,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1122,X0013LGHL9,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3274,X0019CESTZ,Sellable,3,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2988,X0018FKJO1,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2247,X00176Z2Q1,Sellable,2,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3571,X001HABPNL,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2200,X00173VKMJ,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2845,X001878EI7,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1366,X0014N2SHD,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1123,X0013LGIPJ,Sellable,2,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3265,X0019CDJH7,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2068,X00173UKO3,Sellable,3,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3767,X001HTMTNR,Sellable,3,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1169,X0013LDMBR,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2211,X00173UKTX,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2199,X00173VL73,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2876,X0018FKJAP,Sellable,2,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2853,X00187GJW5,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2016,X0016JVAQ5,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2759,X00187692F,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3269,X0019CDJJ5,Sellable,3,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1081,X0013LFPBR,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3273,X0019CBZKF,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
