fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId
,592,22.8,15.8,2.2,420.0,4
,593,20.4,13.8,2.0,380.0,4
,594,21.0,14.4,3.8,600.0,5
,595,21.4,15.0,4.2,600.0,6
,596,23.8,18.8,2.4,880.0,5
,597,21.8,14.8,2.0,300.0,4
,598,22.0,15.0,1.6,270.0,4
,599,22.8,15.1,3.2,730.0,5
,600,27.2,20.8,1.8,840.0,5
,601,24.4,17.2,1.0,358.0,4
,602,23.8,16.0,4.2,700.0,6
,603,23.9,16.0,2.8,450.0,5
,604,19.4,19.2,1.6,500.0,5
,605,20.2,13.8,2.2,270.0,4
,606,22.0,14.8,1.8,320.0,4
,607,20.4,13.4,3.2,460.0,5
,608,25.6,19.8,4.8,1780.0,11
,609,21.4,17.0,3.2,740.0,5
,610,23.2,16.1,2.8,340.0,5
,611,21.8,14.6,2.6,820.0,5
,612,20.4,13.4,3.0,360.0,5
