fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId,fbaFeesLocalAndPanEu,fbaFeesEfn
,1890,23.9,17.6,1.5,460.0,4,4.45,5.61
,1891,19.8,13.8,2.6,460.0,5,4.45,6.17
,1892,23.8,18.8,2.2,1020.0,10,4.45,9.56
,1893,21.9,15.0,1.9,320.0,4,4.45,5.61
,1894,18.0,13.0,1.2,100.0,3,4.45,5.57
,1895,19.8,13.6,1.8,300.0,4,4.45,5.61
,1896,18.8,13.2,1.8,220.0,4,3.82,5.61
,1898,23.2,21.5,6.7,222.0,8,4.45,7.26
,1899,15.2,7.0,5.4,160.0,6,3.34,6.81
,1900,21.1,15.3,7.5,1620.0,11,3.82,10.90
,1901,92.5,30.0,23.0,2095.0,29,4.45,19.71
,1902,24.0,23.0,6.4,1420.0,11,4.45,10.90
,1903,25.8,19.8,2.4,760.0,5,6.16,6.17
,1904,17.8,10.9,2.5,220.0,4,4.45,5.61
,1905,21.6,14.0,2.8,300.0,5,3.34,6.17
,1906,24.0,15.2,4.4,760.0,6,6.16,6.81
,1907,22.8,14.4,3.8,560.0,5,6.16,6.17
,1908,17.6,10.6,2.4,220.0,4,6.16,5.61
,1909,30.6,24.8,2.2,1642.0,11,2.80,10.90
,1910,20.4,14.2,2.6,360.0,5,4.45,6.17
,1911,28.0,22.2,2.2,640.0,5,6.24,6.17
,1912,17.2,13.2,1.8,230.0,4,6.16,5.61
,1913,9.8,9.6,9.4,259.0,8,6.24,7.26
,1914,17.2,13.4,1.2,141.0,3,6.24,5.57
,1915,22.8,14.8,1.8,320.0,4,4.45,5.61
,1916,21.8,15.1,1.7,390.0,4,9.55,5.61
,1917,22.8,14.8,2.0,380.0,4,4.45,5.61
,1918,22.8,15.0,1.4,260.0,4,9.55,5.61
,1919,22.0,15.0,4.7,380.0,6,4.45,6.81
,1920,21.0,13.4,2.8,480.0,5,4.45,6.17
,1921,22.8,15.0,2.6,540.0,5,2.80,6.17
,1922,21.4,13.8,2.0,360.0,4,2.80,5.61
,1923,21.8,14.8,1.2,200.0,3,3.34,5.57
,1924,19.8,12.4,2.0,200.0,3,3.34,5.57
,1925,20.8,16.0,1.6,400.0,4,2.80,5.61
,1926,30.5,22.7,1.4,850.0,5,4.79,6.17
,1927,29.6,21.0,1.6,540.0,5,6.16,6.17
,1928,24.8,22.4,1.2,590.0,5,4.45,6.17
,1929,32.2,24.4,2.0,1220.0,10,3.82,9.56
,1930,24.6,22.6,1.2,640.0,5,4.79,6.17
,1931,20.0,19.8,1.0,420.0,4,5.92,5.61
,1932,24.8,19.8,1.6,640.0,5,5.92,6.17
,1933,19.8,19.8,0.8,300.0,4,5.92,5.61
