productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
548,DE,8,386313,0.05000
549,DE,8,309050,0.04000
550,DE,8,231788,0.03000
551,DE,8,154525,0.02000
552,DE,8,115894,0.01500
553,DE,8,77263,0.01000
554,DE,8,38631,0.00500
555,DE,8,7726,0.00100
556,DE,8,3863,0.00050
557,DE,8,773,0.00010
558,DE,8,0,0.00000
559,DE,9,7584997,1.00000
560,DE,9,3792499,0.50000
561,DE,9,3033999,0.40000
562,DE,9,2275499,0.30000
563,DE,9,1516999,0.20000
564,DE,9,1137750,0.15000
565,DE,9,758500,0.10000
566,DE,9,379250,0.05000
567,DE,9,303400,0.04000
568,DE,9,227550,0.03000
569,DE,9,151700,0.02000
570,DE,9,113775,0.01500
571,DE,9,75850,0.01000
572,DE,9,37925,0.00500
573,DE,9,7585,0.00100
574,DE,9,3792,0.00050
575,DE,9,758,0.00010
576,DE,9,0,0.00000
577,DE,10,7703672,1.00000
578,DE,10,3851836,0.50000
579,DE,10,3081469,0.40000
580,DE,10,2311102,0.30000
581,DE,10,1540734,0.20000
582,DE,10,1155551,0.15000
583,DE,10,770367,0.10000
584,DE,10,385184,0.05000
585,DE,10,308147,0.04000
586,DE,10,231110,0.03000
587,DE,10,154073,0.02000
588,DE,10,115555,0.01500
589,DE,10,77037,0.01000
590,DE,10,38518,0.00500
591,DE,10,7704,0.00100
592,DE,10,3852,0.00050
593,DE,10,770,0.00010
594,DE,10,0,0.00000
595,DE,11,7621786,1.00000
596,DE,11,3810893,0.50000
597,DE,11,3048714,0.40000
598,DE,11,2286536,0.30000
599,DE,11,1524357,0.20000
600,DE,11,1143268,0.15000
601,DE,11,762179,0.10000
602,DE,11,381089,0.05000
603,DE,11,304871,0.04000
604,DE,11,228654,0.03000
605,DE,11,152436,0.02000
606,DE,11,114327,0.01500
607,DE,11,76218,0.01000
608,DE,11,38109,0.00500
609,DE,11,7622,0.00100
610,DE,11,3811,0.00050
611,DE,11,762,0.00010
612,DE,11,0,0.00000
613,DE,12,7539235,1.00000
614,DE,12,3769618,0.50000
615,DE,12,3015694,0.40000
616,DE,12,2261771,0.30000
617,DE,12,1507847,0.20000
618,DE,12,1130885,0.15000
619,DE,12,753924,0.10000
620,DE,12,376962,0.05000
621,DE,12,301569,0.04000
622,DE,12,226177,0.03000
623,DE,12,150785,0.02000
624,DE,12,113089,0.01500
625,DE,12,75392,0.01000
626,DE,12,37696,0.00500
627,DE,12,7539,0.00100
628,DE,12,3770,0.00050
629,DE,12,754,0.00010
630,DE,12,0,0.00000
631,DE,13,10632141,1.00000
632,DE,13,5316071,0.50000
633,DE,13,4252856,0.40000
634,DE,13,3189642,0.30000
635,DE,13,2126428,0.20000
636,DE,13,1594821,0.15000
637,DE,13,1063214,0.10000
638,DE,13,531607,0.05000
639,DE,13,425286,0.04000
640,DE,13,318964,0.03000
641,DE,13,212643,0.02000
642,DE,13,159482,0.01500
643,DE,13,106321,0.01000
644,DE,13,53161,0.00500
645,DE,13,10632,0.00100
646,DE,13,5316,0.00050
647,DE,13,1063,0.00010
648,DE,13,0,0.00000
649,DE,14,7640015,1.00000
650,DE,14,3820008,0.50000
651,DE,14,3056006,0.40000
652,DE,14,2292005,0.30000
653,DE,14,1528003,0.20000
654,DE,14,1146002,0.15000
655,DE,14,764002,0.10000
656,DE,14,382001,0.05000
657,DE,14,305601,0.04000
658,DE,14,229200,0.03000
659,DE,14,152800,0.02000
660,DE,14,114600,0.01500
661,DE,14,76400,0.01000
662,DE,14,38200,0.00500
663,DE,14,7640,0.00100
664,DE,14,3820,0.00050
665,DE,14,764,0.00010
666,DE,14,0,0.00000
667,DE,15,8982217,1.00000
668,DE,15,4491109,0.50000
669,DE,15,3592887,0.40000
670,DE,15,2694665,0.30000
671,DE,15,1796443,0.20000
672,DE,15,1347333,0.15000
673,DE,15,898222,0.10000
674,DE,15,449111,0.05000
675,DE,15,359289,0.04000
676,DE,15,269467,0.03000
677,DE,15,179644,0.02000
678,DE,15,134733,0.01500
679,DE,15,89822,0.01000
680,DE,15,44911,0.00500
681,DE,15,8982,0.00100
682,DE,15,4491,0.00050
683,DE,15,898,0.00010
684,DE,15,0,0.00000
685,DE,16,5814608,1.00000
686,DE,16,2907304,0.50000
687,DE,16,2325843,0.40000
688,DE,16,1744382,0.30000
689,DE,16,1162922,0.20000
690,DE,16,872191,0.15000
691,DE,16,581461,0.10000
692,DE,16,290730,0.05000
693,DE,16,232584,0.04000
694,DE,16,174438,0.03000
695,DE,16,116292,0.02000
696,DE,16,87219,0.01500
697,DE,16,58146,0.01000
698,DE,16,29073,0.00500
699,DE,16,5815,0.00100
700,DE,16,2907,0.00050
701,DE,16,581,0.00010
702,DE,16,0,0.00000
703,DE,17,7741476,1.00000
704,DE,17,3870738,0.50000
705,DE,17,3096590,0.40000
706,DE,17,2322443,0.30000
707,DE,17,1548295,0.20000
708,DE,17,1161221,0.15000
709,DE,17,774148,0.10000
710,DE,17,387074,0.05000
711,DE,17,309659,0.04000
712,DE,17,232244,0.03000
713,DE,17,154830,0.02000
714,DE,17,116122,0.01500
715,DE,17,77415,0.01000
716,DE,17,38707,0.00500
717,DE,17,7741,0.00100
718,DE,17,3871,0.00050
719,DE,17,774,0.00010
720,DE,17,0,0.00000
721,DE,18,7738316,1.00000
722,DE,18,3869158,0.50000
723,DE,18,3095326,0.40000
724,DE,18,2321495,0.30000
725,DE,18,1547663,0.20000
726,DE,18,1160747,0.15000
727,DE,18,773832,0.10000
728,DE,18,386916,0.05000
729,DE,18,309533,0.04000
730,DE,18,232149,0.03000
731,DE,18,154766,0.02000
732,DE,18,116075,0.01500
733,DE,18,77383,0.01000
734,DE,18,38692,0.00500
735,DE,18,7738,0.00100
736,DE,18,3869,0.00050
737,DE,18,774,0.00010
738,DE,18,0,0.00000
739,DE,19,7671977,1.00000
740,DE,19,3835989,0.50000
741,DE,19,3068791,0.40000
742,DE,19,2301593,0.30000
