sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
BOOK-04.23-4,62-2813220248	X001RE2UEF	2813220248	La sagesse des chamanes toltèques	New	15.42	No		Yes	0	0	0	0	0	446.71	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-2813220256	X001RDXJWX	2813220256	L'Invité de l'au-delà	New	13.55	No		Yes	1	1	0	0	1	582.72	0	0	0	0	0	0	1	0
BOOK-04.23-4,62-2843194121	X001RE2U81	2843194121	Adultes surdoués et relations amoureuses - Comment vivre avec l'autre et savoir être heureux en coup	New	17.00	No		Yes	0	0	0	0	0	588.62	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-284319413X	X001RDQ9MZ	284319413X	Hypersensibles - Le Labyrinthe des émotions	New	15.80	No		Yes	0	0	0	0	0	523.24	0	0	0	0	0	0	0	0
BOOK-04.23-4,67-2702914780	X001RE2C9N	2702914780	La musculation sans appareil, anatomie et mouvements	New	19.50	No		Yes	0	0	0	0	0	690.71	0	0	0	0	0	0	0	0
BOOK-04.23-4,67-2702914942	X001RE2AAJ	2702914942	Seconde chance	New	17.49	No		Yes	10	9	1	0	10	738.56	0	0	0	0	0	0	9	0
BOOK-04.23-4,67-2732485462	X001RE2ST7	2732485462	L'Homme qui tartinait une éponge	New	18.60	No		Yes	0	0	0	0	0	607.47	0	0	0	0	0	0	0	0
BOOK-04.23-4,67-2757603205	X001RE2DG5	2757603205	Musculation fonctionnelle pour tous: Retrouvez votre motricité naturelle !	New	19.59	No		Yes	0	0	0	0	0	567.81	0	0	0	0	0	0	0	0
BOOK-04.23-4,67-275760340X	X001RDQC6N	275760340X	J'ai pas le temps de faire du sport: Des séances de 10 minutes sans matériel pour s'affiner et se muscler	New	14.42	No		Yes	0	0	0	0	0	776.91	0	0	0	0	0	0	0	0
BOOK-04.23-4,77-2081436027	X001RFBQM1	2081436027	En confidence	New	16.90	No		Yes	0	0	0	0	0	459.17	0	0	0	0	0	0	0	0
BOOK-04.23-4,84-2823614079	X001RE2W7Z	2823614079	Le Regard féminin: Une révolution à l'écran	New	16.00	No		Yes	0	0	0	0	0	426.39	0	0	0	0	0	0	0	0
BOOK-04.23-4,92-2213705623	X001RE2SC9	2213705623	Jean-Luc Delarue: La star qui ne s'aimait pas	New	14.80	No		Yes	6	6	0	0	6	745.61	0	0	0	0	0	0	6	0
BOOK-04.23-4,92-2749917832	X001RE2WYN	2749917832	Hexagone : Sur les routes de l'histoire de France	New	14.80	No		Yes	0	0	0	0	0	1328.5	0	0	0	0	0	0	0	0
BOOK-04.23-4,92-2749925118	X001RE2V2V	2749925118	Métronome 2	New	14.80	No		Yes	2	2	0	0	2	1199.04	0	0	0	0	0	0	2	0
BOOK-04.23-4,92-2810426465	X001RDQGYB	2810426465	Diamant & Mauvais Karma (02)	New	14.80	No		Yes	0	0	0	0	0	1018.29	0	0	0	0	0	0	0	0
BOOK-04.23-4,93-2271081416	X001RDXK8B	2271081416	Atlas de l'alimentation	New	22.23	No		Yes	0	0	0	0	0	822.79	0	0	0	0	0	0	0	0
BOOK-04.23-4,93-2732470538	X001RDQ7VD	2732470538	Sophie express: 150 recettes en 15 minutes chrono, cuisson comprise!	New	25.45	No		Yes	0	0	0	0	0	1216.58	0	0	0	0	0	0	0	0
BOOK-04.23-4,93-2853276023	X001RDQ8CV	2853276023	Les exercices qui vous soignent, Tome 1	New	22.23	No		Yes	0	0	0	0	0	776.09	0	0	0	0	0	0	0	0
BOOK-04.23-4-B07D2TMYNZ	X001RE2AY5	B07D2TMYNZ	Escape Box Cthulhu - Escape game adulte de 3 à 6 joueurs - Dès 14 ans et adulte	New	15.35	No		Yes	0	0	0	0	0	3275.94	0	0	0	0	0	0	0	0
BOOK-04.23-5,04-2843194237	X001RE29OB	2843194237	La vie commence avant la naissance	New	14.90	No		Yes	0	0	0	0	0	626.97	0	0	0	0	0	0	0	0
BOOK-04.23-5,08-2702915256	X001RF2EEZ	2702915256	Prendre soin de son périnée à tout âge	New	17.00	No		Yes	0	0	0	0	0	590.59	0	0	0	0	0	0	0	0
BOOK-04.23-5,12-2749155835	X001RE2DB5	2749155835	Le Guide anti-Alzheimer	New	19.00	No		Yes	1	1	0	0	1	998.46	0	0	0	0	0	0	1	0
BOOK-04.23-5,13-2702913504	X001RE2V4J	2702913504	Glorieuses possibilités	New	20.00	No		Yes	6	6	0	0	6	957.66	0	0	0	0	0	0	6	0
BOOK-04.23-5,27-2702914365	X001RE2UWR	2702914365	Entrez dans la pratique de l'Ashtanga Yoga	New	22.90	No		Yes	0	0	0	0	0	865.24	0	0	0	0	0	0	0	0
BOOK-04.23-5,27-2757603450	X001RE5QPP	2757603450	Les secrets de vos superpouvoirs	New	15.33	No		Yes	4	4	0	0	4	890.15	0	0	0	0	0	0	4	0
BOOK-04.23-5,42-2810425493	X001RDQAAV	2810425493	Le Cupcake Café sous la neige	New	15.56	No		Yes	0	0	0	0	0	967.66	0	0	0	0	0	0	0	0
BOOK-04.23-5,42-2810426767	X001RE2YFZ	2810426767	Une rencontre au bord de l'eau	New	15.56	No		Yes	0	0	0	0	0	1226.41	0	0	0	0	0	0	0	0
BOOK-04.23-5,42-2813218472	X001RE2ABX	2813218472	La cuisine des 4 saisons selon la médecine chinoise	New	18.98	No		Yes	0	0	0	0	0	596.16	0	0	0	0	0	0	0	0
BOOK-04.23-5,42-2813219797	X001RDQ78V	2813219797	Un éléphant dans ma cuisine	New	15.56	No		Yes	3	3	0	0	3	827.55	0	0	0	0	0	0	3	0
BOOK-04.23-5,42-2841389847	X001RE2AGX	2841389847	Elie Semoun, pelouse interdite	New	15.56	No		Yes	0	0	0	0	0	719.72	0	0	0	0	0	0	0	0
BOOK-04.23-5,42-B07MWQRP3R	X001RDQG0F	B07MWQRP3R	Le Roman vrai d'Alexandre	New	17.00	No		Yes	0	0	0	0	0	1218.54	0	0	0	0	0	0	0	0
BOOK-04.23-5,5-2813218103	X001RDXL0N	2813218103	Voyage d'un neurochirurgien au coeur de la conscience	New	17.65	No		Yes	0	0	0	0	0	1058.28	0	0	0	0	0	0	0	0
BOOK-04.23-5,54-2412038716	X001RDQCW7	2412038716	Ma clé du bonheur	New	15.00	No		Yes	0	0	0	0	0	530.78	0	0	0	0	0	0	0	0
BOOK-04.23-5,54-2889357287	X001RDQEPR	2889357287	L'album sonore de bébé	New	18.70	No		Yes	0	0	0	0	0	1608.88	0	0	0	0	0	0	0	0
BOOK-04.23-5,62-B072ZFY4CM	X001RE2BNF	B072ZFY4CM	Politique et société	New	20.50	No		Yes	0	0	0	0	0	1089.74	0	0	0	0	0	0	0	0
