sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
LBM-03.23-11,4-B009M398KY	X001QM08FL	B009M398KY	Crazy Colour Semi Permanent Hair Dye By Renbow Platinum No.28(100ml) Box of 4	New	26.98	No		Yes	3	3	0	0	3	915.05	0	0	0	0	0	0
LBM-03.23-11,4-B018TP1UZG	X001QM9G6D	B018TP1UZG	Crazy Color Couleur/ Dye de cheveux semi-permanent 4x100ml Rouge	New	32.77	No		Yes	0	0	0	0	0	2079.19	0	0	0	0	0	0
LBM-03.23-11,4-B072ZWQ789	X001QM3AER	B072ZWQ789	Crazy Color 4 X Crazy Color Renbow Semi-Permanent Hair Colour Cream Dye 100 Ml Box Of Four-Ice Mauve - 540 g	New	32.77	No		Yes	1	1	0	0	1	949.79	0	0	0	0	0	0
LBM-03.23-2,4-B004X8KOEC	X001QM3AEH	B004X8KOEC	Gel coiffant à l'huile d'olive Ecostyle, tenue toute la journée, sans alcool & paraben, sans sulfate & desquamation, anti-démangeaisons, 473 ml	New	11.52	No		Yes	150	149	0	1	150	882.28	0	0	0	0	0	0
LBM-03.23-2,4-B00BFWOIPU	X001QM06DP	B00BFWOIPU	Eco Style Gel coiffant à l'huile d'argan marocaine, tenue toute la journée, sans alcool, sans paraben, sans sulfate, sans écaillage, anti-démangeaisons, 473 ml	New	11.52	No		Yes	11	11	0	0	11	1059.1	0	0	0	0	0	0
LBM-03.23-3,5-B001T8MJC4	X001QM08G5	B001T8MJC4	Eco Styler Gel Coiffant Pot de 946 ml	New	14.04	No		Yes	0	0	0	0	0	1853.7	0	0	0	0	0	0
LBM-03.23-4,2-B00DM4P678	X001QM9G6N	B00DM4P678	Mixa Bébé - Shampoing Karité Démêlant Très Doux - Lot de 2	New	21.80	No		Yes	0	0	0	0	0	890.8	0	0	0	0	0	0
LBM-03.23-4-B01NB20C2V	X001QM06CV	B01NB20C2V	ECO Gel Tenue Extra Black Castor/Huile de Lin 946 ml	New	14.78	No		Yes	15	15	0	0	15	1845.18	0	0	0	0	0	0
LBM-03.23-4-B072K4YFJW	X001QM9G63	B072K4YFJW	Eco Styler Gel coiffant professionnel à l’huile de coco Tenue maximale 946 ml	New	22.36	No		Yes	0	0	0	0	0	4656.55	0	0	0	0	0	0
LBM-03.23-4-B075M9PJ4D	X001QM06E9	B075M9PJ4D	Eco style, Gel cheveux Huile coco 946ml	New	24.06	No		Yes	0	0	0	0	0	2142.77	0	0	0	0	0	0
LBM-03.23-8,75-B002EQQ11K	X001QM06DZ	B002EQQ11K	MIZANI O Miz Coconut Souffle Soins 226.8 g	New	26.61	No		Yes	0	0	0	0	0	509.8	0	0	0	0	0	0
LBM-05.22-3,48-B00MUPR7E0	X001KK412Z	B00MUPR7E0	Dabur AMLA Huile capillaire naturelle pour de beaux cheveux 200 ml	New	9.66	No		Yes	0	0	0	0	0	454.09	0	0	0	0	0	0
LBM-05.22-3,84-B07DYYGK7V	X001KK16GJ	B07DYYGK7V	Got2b Ultra Collé Noir 150ml	New	16.28	No		Yes	1	1	0	0	1	604.52	0	0	0	0	0	0
LBM-05.22-4,14-B01N9LDX7D	X001KK4125	B01N9LDX7D	Cantu Shea Butter For Natural Hair Sulfate Free Hydrating Cream Conditioner 400ml by Cantu	New	11.84	No		Yes	11	0	0	11	11	614.19	0	0	0	0	0	0
